match,start_time,market_name,home_team,home_line,home_win,away_team,away_line,away_win,margin,agency
GWS Giants v Western Bulldogs,NA,Line,GWS Giants,-4.5,1.91,Western Bulldogs,4.5,1.91,1.047,Bet365
Essendon Bombers v Fremantle Dockers,2023-08-31T15:05:00Z,Line,Essendon Bombers,-8.5,1.95,Fremantle Dockers,8.5,1.87,1.048,Bet365
Gold Coast Suns v St Kilda Saints,2023-08-31T17:05:00Z,Line,Gold Coast Suns,-5.5,1.91,St Kilda Saints,5.5,1.91,1.047,Bet365
Geelong Cats v Melbourne Demons,2023-08-31T19:15:00Z,Line,Geelong Cats,-2.5,1.91,Melbourne Demons,2.5,1.91,1.047,Bet365
Port Adelaide Power v Adelaide Crows,2023-08-31T19:45:00Z,Line,Port Adelaide Power,25.5,1.95,Adelaide Crows,-25.5,1.87,1.048,Bet365
Hawthorn Hawks v Carlton,2023-09-01T13:05:00Z,Line,Hawthorn Hawks,-8.5,1.91,Carlton,8.5,1.91,1.047,Bet365
Brisbane Lions v North Melbourne Kangaroos,2023-09-01T15:05:00Z,Line,Brisbane Lions,-6.5,1.91,North Melbourne Kangaroos,6.5,1.91,1.047,Bet365
