match,start_time,market_name,home_team,home_win,home_line,away_team,away_win,away_line,margin,agency
Port Adelaide Power v Geelong Cats,2024-09-05T09:40:00Z,Line,Port Adelaide Power,1.9,-12.5,Geelong Cats,1.9,12.5,1.053,BetRight
Western Bulldogs v Hawthorn Hawks,2024-09-06T09:40:00Z,Line,Western Bulldogs,1.9,-3.5,Hawthorn Hawks,1.9,3.5,1.053,BetRight
Sydney Swans v GWS Giants,2024-09-07T05:20:00Z,Line,Sydney Swans,1.9,-7.5,GWS Giants,1.9,7.5,1.053,BetRight
Brisbane Lions v Carlton,2024-09-07T09:30:00Z,Line,Brisbane Lions,1.9,-24.5,Carlton,1.9,24.5,1.053,BetRight
