match,home_team,away_team,home_win,home_liquidity,market_name,away_win,away_liquidity,agency
Essendon Bombers v Fremantle Dockers,Essendon Bombers,Fremantle Dockers,1.5034999999999998,25.26,Head To Head,2.71,168.44,Betfair
Gold Coast Suns v St Kilda Saints,Gold Coast Suns,St Kilda Saints,1.589,80.25,Head To Head,2.368,133.78,Betfair
Geelong Cats v Melbourne Demons,Geelong Cats,Melbourne Demons,1.7885,101.17,Head To Head,2.0069999999999997,63.06,Betfair
Port Adelaide Power v Adelaide Crows,Port Adelaide Power,Adelaide Crows,8.030000000000001,105.06,Head To Head,1.1045,1464.54,Betfair
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,1.456,221,Head To Head,2.729,36.68,Betfair
Brisbane Lions v North Melbourne Kangaroos,Brisbane Lions,North Melbourne Kangaroos,1.589,155.06,Head To Head,2.311,94.32,Betfair
