match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,prop_id,under_prop_id,agency
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Aine McDonagh,Hawthorn Hawks,Carlton,0.5,1.3,NA,15775,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Greta Bodey,Hawthorn Hawks,Carlton,0.5,1.36,NA,15776,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Mia Austin,Carlton,Hawthorn Hawks,0.5,1.4,NA,15785,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Bridie Hipwell,Hawthorn Hawks,Carlton,0.5,1.6,NA,15777,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Breann Moody,Carlton,Hawthorn Hawks,0.5,1.7,NA,15787,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Darcy Vescio,Carlton,Hawthorn Hawks,0.5,1.75,NA,15786,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Aileen Gilroy,Hawthorn Hawks,Carlton,0.5,1.9,NA,15778,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Jess Vukic,Hawthorn Hawks,Carlton,0.5,1.9,NA,15779,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Casey Sherriff,Hawthorn Hawks,Carlton,0.5,1.9,NA,15780,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Lila Keck,Carlton,Hawthorn Hawks,0.5,2.6,NA,15788,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Keeley Skepper,Carlton,Hawthorn Hawks,0.5,2.6,NA,15789,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Abbie McKay,Carlton,Hawthorn Hawks,0.5,2.8,NA,15790,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Eliza West,Hawthorn Hawks,Carlton,0.5,3,NA,15783,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Mattea Breed,Hawthorn Hawks,Carlton,0.5,3,NA,15784,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Emily Bates,Hawthorn Hawks,Carlton,0.5,3,NA,15781,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Mikayla Williamson,Hawthorn Hawks,Carlton,0.5,3,NA,15782,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Mimi Hill,Carlton,Hawthorn Hawks,0.5,3,NA,15791,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Keeley Sherar,Carlton,Hawthorn Hawks,0.5,3.3,NA,15792,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Jess Good,NA,NA,0.5,3.3,NA,15793,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Maddy Guerin,NA,NA,0.5,3.3,NA,15794,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Aine McDonagh,Hawthorn Hawks,Carlton,1.5,2.4,NA,15805,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Greta Bodey,Hawthorn Hawks,Carlton,1.5,3,NA,15806,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Mia Austin,Carlton,Hawthorn Hawks,1.5,3,NA,15815,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Bridie Hipwell,Hawthorn Hawks,Carlton,1.5,4,NA,15807,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Breann Moody,Carlton,Hawthorn Hawks,1.5,4.5,NA,15817,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Darcy Vescio,Carlton,Hawthorn Hawks,1.5,5,NA,15816,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Aileen Gilroy,Hawthorn Hawks,Carlton,1.5,6,NA,15808,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Jess Vukic,Hawthorn Hawks,Carlton,1.5,6,NA,15809,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Casey Sherriff,Hawthorn Hawks,Carlton,1.5,6,NA,15810,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Keeley Skepper,Carlton,Hawthorn Hawks,1.5,11,NA,15819,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Lila Keck,Carlton,Hawthorn Hawks,1.5,11,NA,15818,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Abbie McKay,Carlton,Hawthorn Hawks,1.5,12,NA,15820,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Mikayla Williamson,Hawthorn Hawks,Carlton,1.5,13,NA,15812,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Eliza West,Hawthorn Hawks,Carlton,1.5,13,NA,15813,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Mattea Breed,Hawthorn Hawks,Carlton,1.5,13,NA,15814,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Mimi Hill,Carlton,Hawthorn Hawks,1.5,13,NA,15821,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Emily Bates,Hawthorn Hawks,Carlton,1.5,13,NA,15811,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Keeley Sherar,Carlton,Hawthorn Hawks,1.5,16,NA,15822,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Jess Good,NA,NA,1.5,16,NA,15823,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Maddy Guerin,NA,NA,1.5,16,NA,15824,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Aine McDonagh,Hawthorn Hawks,Carlton,2.5,5.5,NA,15708,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Mia Austin,Carlton,Hawthorn Hawks,2.5,7,NA,15718,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Greta Bodey,Hawthorn Hawks,Carlton,2.5,8,NA,15709,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Bridie Hipwell,Hawthorn Hawks,Carlton,2.5,13,NA,15710,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Breann Moody,Carlton,Hawthorn Hawks,2.5,14,NA,15720,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Darcy Vescio,Carlton,Hawthorn Hawks,2.5,17,NA,15719,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Aileen Gilroy,Hawthorn Hawks,Carlton,2.5,21,NA,15711,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Jess Vukic,Hawthorn Hawks,Carlton,2.5,21,NA,15712,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Casey Sherriff,Hawthorn Hawks,Carlton,2.5,21,NA,15713,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Lila Keck,Carlton,Hawthorn Hawks,2.5,34,NA,15721,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Keeley Skepper,Carlton,Hawthorn Hawks,2.5,34,NA,15722,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Abbie McKay,Carlton,Hawthorn Hawks,2.5,41,NA,15723,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Mimi Hill,Carlton,Hawthorn Hawks,2.5,51,NA,15724,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Jess Good,NA,NA,2.5,51,NA,15726,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Emily Bates,Hawthorn Hawks,Carlton,2.5,51,NA,15714,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Mikayla Williamson,Hawthorn Hawks,Carlton,2.5,51,NA,15715,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Eliza West,Hawthorn Hawks,Carlton,2.5,51,NA,15716,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Mattea Breed,Hawthorn Hawks,Carlton,2.5,51,NA,15717,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Keeley Sherar,Carlton,Hawthorn Hawks,2.5,51,NA,15725,NA,TAB
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Goals,Maddy Guerin,NA,NA,2.5,51,NA,15727,NA,TAB
Brisbane Lions v North Melbourne Kangaroos,Brisbane Lions,North Melbourne Kangaroos,Player Goals,Dakota Davidson,Brisbane Lions,North Melbourne Kangaroos,0.5,1.18,NA,15978,NA,TAB
Brisbane Lions v North Melbourne Kangaroos,Brisbane Lions,North Melbourne Kangaroos,Player Goals,Tahlia Randall,North Melbourne Kangaroos,Brisbane Lions,0.5,1.25,NA,15988,NA,TAB
Brisbane Lions v North Melbourne Kangaroos,Brisbane Lions,North Melbourne Kangaroos,Player Goals,Sophie Conway,Brisbane Lions,North Melbourne Kangaroos,0.5,1.5,NA,15979,NA,TAB
Brisbane Lions v North Melbourne Kangaroos,Brisbane Lions,North Melbourne Kangaroos,Player Goals,Jasmine Garner,North Melbourne Kangaroos,Brisbane Lions,0.5,1.7,NA,15989,NA,TAB
