match,event_id,home_team,away_team,market_name,market_id,player_name,player_team,opposition_team,entrant_id,line,over_price,under_price,agency
Sydney Swans v Collingwood Magpies,616994dc-11a3-4656-a5cc-c071e6787aca,Sydney Swans,Collingwood Magpies,Player Disposals,010662c6-a7e9-4fd3-8bc9-5ad1b5750f17,Ruby Schleicher,Collingwood Magpies,Sydney Swans,f383b33b-a333-4db2-a902-59cbbaea2cc7,14.5,1.3599999999999999,NA,Neds
Sydney Swans v Collingwood Magpies,616994dc-11a3-4656-a5cc-c071e6787aca,Sydney Swans,Collingwood Magpies,Player Disposals,010662c6-a7e9-4fd3-8bc9-5ad1b5750f17,Tanya Kennedy,Sydney Swans,Collingwood Magpies,98aae417-7ca6-4c3a-b8b5-d98233aff1bb,14.5,1.72,NA,Neds
Sydney Swans v Collingwood Magpies,616994dc-11a3-4656-a5cc-c071e6787aca,Sydney Swans,Collingwood Magpies,Player Disposals,010662c6-a7e9-4fd3-8bc9-5ad1b5750f17,Sofia Hurley,Sydney Swans,Collingwood Magpies,58d9f5d7-1b79-4921-bcac-d735acf71ec0,14.5,1.3,NA,Neds
Sydney Swans v Collingwood Magpies,616994dc-11a3-4656-a5cc-c071e6787aca,Sydney Swans,Collingwood Magpies,Player Disposals,010662c6-a7e9-4fd3-8bc9-5ad1b5750f17,Mikala Cann,Collingwood Magpies,Sydney Swans,352187ae-54f9-4873-a94d-cace838bac23,14.5,1.26,NA,Neds
Sydney Swans v Collingwood Magpies,616994dc-11a3-4656-a5cc-c071e6787aca,Sydney Swans,Collingwood Magpies,Player Disposals,010662c6-a7e9-4fd3-8bc9-5ad1b5750f17,Chloe Molloy,Sydney Swans,Collingwood Magpies,6e3a380c-070a-4aa6-bd37-3959c6825eaf,14.5,1.6,NA,Neds
Sydney Swans v Collingwood Magpies,616994dc-11a3-4656-a5cc-c071e6787aca,Sydney Swans,Collingwood Magpies,Player Disposals,010662c6-a7e9-4fd3-8bc9-5ad1b5750f17,Sarah Rowe,Collingwood Magpies,Sydney Swans,d09772ba-9248-412e-9e5f-05a05143f51a,14.5,1.26,NA,Neds
Sydney Swans v Collingwood Magpies,616994dc-11a3-4656-a5cc-c071e6787aca,Sydney Swans,Collingwood Magpies,Player Disposals,010662c6-a7e9-4fd3-8bc9-5ad1b5750f17,Brittany Bonnici,Collingwood Magpies,Sydney Swans,fc8d6bcf-2fe3-4f40-ae3b-b6cb7bc86cba,14.5,1.33,NA,Neds
West Coast Eagles v Richmond Tigers,ab5ba96a-1846-425d-91b0-0fdfe422a732,West Coast Eagles,Richmond Tigers,Player Disposals,575ecbf5-b196-4901-82cb-9f40e65f8ba2,Alison Drennan,West Coast Eagles,Richmond Tigers,fe3a182a-ef7d-4e94-8b2c-953f993ec82d,19.5,1.7,NA,Neds
West Coast Eagles v Richmond Tigers,ab5ba96a-1846-425d-91b0-0fdfe422a732,West Coast Eagles,Richmond Tigers,Player Disposals,575ecbf5-b196-4901-82cb-9f40e65f8ba2,Kate Dempsey,Richmond Tigers,West Coast Eagles,8a77420c-0218-4be8-b779-a159513f7a11,19.5,1.62,NA,Neds
West Coast Eagles v Richmond Tigers,ab5ba96a-1846-425d-91b0-0fdfe422a732,West Coast Eagles,Richmond Tigers,Player Disposals,575ecbf5-b196-4901-82cb-9f40e65f8ba2,Ella Roberts,West Coast Eagles,Richmond Tigers,1d63c66f-3f8d-4d87-9cc8-398fb3aa2985,19.5,1.48,NA,Neds
West Coast Eagles v Richmond Tigers,ab5ba96a-1846-425d-91b0-0fdfe422a732,West Coast Eagles,Richmond Tigers,Player Disposals,575ecbf5-b196-4901-82cb-9f40e65f8ba2,Grace Egan,Richmond Tigers,West Coast Eagles,88d86951-5c1d-4822-ae08-e82f9e1ec0dc,19.5,1.26,NA,Neds
West Coast Eagles v Richmond Tigers,ab5ba96a-1846-425d-91b0-0fdfe422a732,West Coast Eagles,Richmond Tigers,Player Disposals,575ecbf5-b196-4901-82cb-9f40e65f8ba2,Monique Conti,Richmond Tigers,West Coast Eagles,f6562b4b-d06b-4056-9888-994a61c9af5e,19.5,1.07,NA,Neds
Sydney Swans v Collingwood Magpies,616994dc-11a3-4656-a5cc-c071e6787aca,Sydney Swans,Collingwood Magpies,Player Disposals,790810f5-bcb3-4017-ab99-b908906575b6,Mikala Cann,Collingwood Magpies,Sydney Swans,530d4ab0-18de-4efa-b430-3b273a4b4708,19.5,2.2,NA,Neds
Sydney Swans v Collingwood Magpies,616994dc-11a3-4656-a5cc-c071e6787aca,Sydney Swans,Collingwood Magpies,Player Disposals,790810f5-bcb3-4017-ab99-b908906575b6,Sarah Rowe,Collingwood Magpies,Sydney Swans,663c2b15-17f0-4750-ac62-ef1007dc4ca6,19.5,2.2,NA,Neds
Sydney Swans v Collingwood Magpies,616994dc-11a3-4656-a5cc-c071e6787aca,Sydney Swans,Collingwood Magpies,Player Disposals,790810f5-bcb3-4017-ab99-b908906575b6,Brittany Bonnici,Collingwood Magpies,Sydney Swans,dfc41443-506b-4dc0-8075-5db52f3a54a7,19.5,2.45,NA,Neds
Sydney Swans v Collingwood Magpies,616994dc-11a3-4656-a5cc-c071e6787aca,Sydney Swans,Collingwood Magpies,Player Disposals,790810f5-bcb3-4017-ab99-b908906575b6,Sofia Hurley,Sydney Swans,Collingwood Magpies,fc925c94-c828-46b1-b03f-c3ec71a1137e,19.5,2.3,NA,Neds
