match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,group_by_header,event_id,outcome_name,outcome_name_under,outcome_id,outcome_id_under,fixed_market_id,fixed_market_id_under
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Aliir Aliir,NA,14.5,1.85,NA,BetRight,NA,Player Disposals - Aliir Aliir (PORT),36882496,Aliir Aliir 15+,NA,1,NA,222883608,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Aliir Aliir,NA,19.5,6,NA,BetRight,NA,Player Disposals - Aliir Aliir (PORT),36882496,Aliir Aliir 20+,NA,2,NA,222883609,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Miles Bergman,NA,14.5,1.62,NA,BetRight,NA,Player Disposals - Miles Bergman (PORT),36882497,Miles Bergman 15+,NA,1,NA,222883676,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Miles Bergman,NA,19.5,4.75,NA,BetRight,NA,Player Disposals - Miles Bergman (PORT),36882497,Miles Bergman 20+,NA,2,NA,222883677,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Travis Boak,NA,14.5,1.15,NA,BetRight,NA,Player Disposals - Travis Boak (PORT),36882498,Travis Boak 15+,NA,1,NA,222883678,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Travis Boak,NA,19.5,2.1,NA,BetRight,NA,Player Disposals - Travis Boak (PORT),36882498,Travis Boak 20+,NA,2,NA,222883679,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Travis Boak,NA,24.5,6,NA,BetRight,NA,Player Disposals - Travis Boak (PORT),36882498,Travis Boak 25+,NA,3,NA,222883680,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Jase Burgoyne,NA,14.5,1.18,NA,BetRight,NA,Player Disposals - Jase Burgoyne (PORT),36882499,Jase Burgoyne 15+,NA,1,NA,222883681,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Jase Burgoyne,NA,19.5,2.15,NA,BetRight,NA,Player Disposals - Jase Burgoyne (PORT),36882499,Jase Burgoyne 20+,NA,2,NA,222883682,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Jase Burgoyne,NA,24.5,6.5,NA,BetRight,NA,Player Disposals - Jase Burgoyne (PORT),36882499,Jase Burgoyne 25+,NA,3,NA,222883683,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Ryan Burton,NA,14.5,1.18,NA,BetRight,NA,Player Disposals - Ryan Burton (PORT),36882500,Ryan Burton 15+,NA,1,NA,222883684,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Ryan Burton,NA,19.5,2.15,NA,BetRight,NA,Player Disposals - Ryan Burton (PORT),36882500,Ryan Burton 20+,NA,2,NA,222883685,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Ryan Burton,NA,24.5,6.5,NA,BetRight,NA,Player Disposals - Ryan Burton (PORT),36882500,Ryan Burton 25+,NA,3,NA,222883686,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Zak Butters,NA,24.5,1.42,NA,BetRight,NA,Player Disposals - Zak Butters (PORT),36882501,Zak Butters 25+,NA,1,NA,222883687,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Zak Butters,NA,29.5,2.3,NA,BetRight,NA,Player Disposals - Zak Butters (PORT),36882501,Zak Butters 30+,NA,2,NA,222883688,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Zak Butters,NA,34.5,4.6,NA,BetRight,NA,Player Disposals - Zak Butters (PORT),36882501,Zak Butters 35+,NA,3,NA,222883689,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Darcy Byrne-Jones,NA,14.5,1.24,NA,BetRight,NA,Player Disposals - Darcy Byrne-Jones (PORT),36882502,Darcy Byrne-Jones 15+,NA,1,NA,222883690,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Darcy Byrne-Jones,NA,19.5,2.5,NA,BetRight,NA,Player Disposals - Darcy Byrne-Jones (PORT),36882502,Darcy Byrne-Jones 20+,NA,2,NA,222883691,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Darcy Byrne-Jones,NA,24.5,8,NA,BetRight,NA,Player Disposals - Darcy Byrne-Jones (PORT),36882502,Darcy Byrne-Jones 25+,NA,3,NA,222883692,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Charlie Dixon,NA,14.5,3.8,NA,BetRight,NA,Player Disposals - Charlie Dixon (PORT),36882503,Charlie Dixon 15+,NA,1,NA,222883693,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Willem Drew,NA,14.5,1.17,NA,BetRight,NA,Player Disposals - Willem Drew (PORT),36882504,Willem Drew 15+,NA,1,NA,222883694,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Willem Drew,NA,19.5,2.1,NA,BetRight,NA,Player Disposals - Willem Drew (PORT),36882504,Willem Drew 20+,NA,2,NA,222883695,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Willem Drew,NA,24.5,6.25,NA,BetRight,NA,Player Disposals - Willem Drew (PORT),36882504,Willem Drew 25+,NA,3,NA,222883696,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Francis Evans,NA,14.5,3.6,NA,BetRight,NA,Player Disposals - Francis Evans (PORT),36882505,Francis Evans 15+,NA,1,NA,222883697,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Logan Evans,NA,14.5,1.22,NA,BetRight,NA,Player Disposals - Logan Evans (PORT),36882506,Logan Evans 15+,NA,1,NA,222883698,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Logan Evans,NA,19.5,2.4,NA,BetRight,NA,Player Disposals - Logan Evans (PORT),36882506,Logan Evans 20+,NA,2,NA,222883699,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Logan Evans,NA,24.5,7.5,NA,BetRight,NA,Player Disposals - Logan Evans (PORT),36882506,Logan Evans 25+,NA,3,NA,222883700,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Mitch Georgiades,NA,14.5,3.8,NA,BetRight,NA,Player Disposals - Mitch Georgiades (PORT),36882507,Mitch Georgiades 15+,NA,1,NA,222883701,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Jason Horne Francis,NA,19.5,1.42,NA,BetRight,NA,Player Disposals - Jason Horne Francis (PORT),36882508,Jason Horne Francis 20+,NA,1,NA,222883702,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Jason Horne Francis,NA,24.5,2.8,NA,BetRight,NA,Player Disposals - Jason Horne Francis (PORT),36882508,Jason Horne Francis 25+,NA,2,NA,222883703,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Jason Horne Francis,NA,29.5,7.5,NA,BetRight,NA,Player Disposals - Jason Horne Francis (PORT),36882508,Jason Horne Francis 30+,NA,3,NA,222883704,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Lachlan Jones,NA,14.5,2.5,NA,BetRight,NA,Player Disposals - Lachlan Jones (PORT),36882509,Lachlan Jones 15+,NA,1,NA,222883705,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Lachlan Jones,NA,19.5,11,NA,BetRight,NA,Player Disposals - Lachlan Jones (PORT),36882509,Lachlan Jones 20+,NA,2,NA,222883706,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Jackson Mead,NA,14.5,1.85,NA,BetRight,NA,Player Disposals - Jackson Mead (PORT),36882510,Jackson Mead 15+,NA,1,NA,222883707,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Jackson Mead,NA,19.5,6,NA,BetRight,NA,Player Disposals - Jackson Mead (PORT),36882510,Jackson Mead 20+,NA,2,NA,222883708,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Willie Rioli,NA,14.5,3.8,NA,BetRight,NA,Player Disposals - Willie Rioli (PORT),36882511,Willie Rioli 15+,NA,1,NA,222883709,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Connor Rozee,NA,24.5,1.53,NA,BetRight,NA,Player Disposals - Connor Rozee (PORT),36882512,Connor Rozee 25+,NA,1,NA,222883710,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Connor Rozee,NA,29.5,2.63,NA,BetRight,NA,Player Disposals - Connor Rozee (PORT),36882512,Connor Rozee 30+,NA,2,NA,222883711,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Connor Rozee,NA,34.5,6,NA,BetRight,NA,Player Disposals - Connor Rozee (PORT),36882512,Connor Rozee 35+,NA,3,NA,222883712,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Jordon Sweet,NA,14.5,2.75,NA,BetRight,NA,Player Disposals - Jordon Sweet (PORT),36882513,Jordon Sweet 15+,NA,1,NA,222883713,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Ollie Wines,NA,19.5,1.15,NA,BetRight,NA,Player Disposals - Ollie Wines (PORT),36882514,Ollie Wines 20+,NA,1,NA,222883714,NA
Port Adelaide Power v Geelong Cats,Port Adelaide Power,Geelong Cats,Player Disposals,Ollie Wines,NA,24.5,1.7,NA,BetRight,NA,Player Disposals - Ollie Wines (PORT),36882514,Ollie Wines 25+,NA,2,NA,222883715,NA
