match,market_name,home_team,away_team,home_win,away_win,margin,agency
GWS Giants v Western Bulldogs,Head To Head,GWS Giants,Western Bulldogs,1.6400000000000001,2.25,1.05,Neds
Essendon Bombers v Fremantle Dockers,Head To Head,Essendon Bombers,Fremantle Dockers,1.48,2.6,1.06,Neds
Hawthorn Hawks v Carlton,Head To Head,Hawthorn Hawks,Carlton,1.46,2.65,1.06,Neds
Brisbane Lions v North Melbourne Kangaroos,Head To Head,Brisbane Lions,North Melbourne Kangaroos,1.5699999999999998,2.35,1.06,Neds
Geelong Cats v Melbourne Demons,Head To Head,Geelong Cats,Melbourne Demons,1.78,2.02,1.06,Neds
Gold Coast Suns v St Kilda Saints,Head To Head,Gold Coast Suns,St Kilda Saints,1.5699999999999998,2.35,1.06,Neds
Port Adelaide Power v Adelaide Crows,Head To Head,Port Adelaide Power,Adelaide Crows,6,1.12,1.06,Neds
