match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_unders
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Eliza West,Hawthorn Hawks,14.5,1.33,NA,Sportsbet,Carlton,103,46287,12586319,441734228,2148376358,NA
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Emily Bates,Hawthorn Hawks,14.5,1.09,NA,Sportsbet,Carlton,103,46287,12586319,441734228,2148376356,NA
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Jasmine Fleming,Hawthorn Hawks,14.5,1.39,NA,Sportsbet,Carlton,103,46287,12586319,441734228,2148376361,NA
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Kaitlyn Ashmore,Hawthorn Hawks,14.5,1.83,NA,Sportsbet,Carlton,103,46287,12586319,441734228,2148376360,NA
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Mattea Breed,Hawthorn Hawks,14.5,1.6,NA,Sportsbet,Carlton,103,46287,12586319,441734228,2148376357,NA
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Tilly Lucas-Rodd,Hawthorn Hawks,14.5,1.33,NA,Sportsbet,Carlton,103,46287,12586319,441734228,2148376359,NA
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Gabriella Pound,NA,14.5,1.65,NA,Sportsbet,NA,103,46287,12586319,441734228,2148376367,NA
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Keeley Sherar,Carlton,14.5,1.24,NA,Sportsbet,Hawthorn Hawks,103,46287,12586319,441734228,2148376365,NA
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Mimi Hill,Carlton,14.5,1.17,NA,Sportsbet,Hawthorn Hawks,103,46287,12586319,441734228,2148376364,NA
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Darcy Vescio,Carlton,14.5,2.2,NA,Sportsbet,Hawthorn Hawks,103,46287,12586319,441734228,2148376362,NA
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Keeley Skepper,Carlton,14.5,2,NA,Sportsbet,Hawthorn Hawks,103,46287,12586319,441734228,2148376366,NA
Hawthorn Hawks v Carlton,Hawthorn Hawks,Carlton,Player Disposals,Emily Bates,Hawthorn Hawks,19.5,1.64,NA,Sportsbet,Carlton,103,46287,12586319,441734209,2148376228,NA
