match,start_time,market_name,home_team,home_win,away_team,away_win,margin,agency
GWS Giants v Western Bulldogs,2024-08-31T03:05:00.000Z,Head To Head,GWS Giants,1.62,Western Bulldogs,2.25,1.062,TAB
Essendon Bombers v Fremantle Dockers,2024-08-31T05:05:00.000Z,Head To Head,Essendon Bombers,1.45,Fremantle Dockers,2.7,1.06,TAB
Gold Coast Suns v St Kilda Saints,2024-08-31T07:05:00.000Z,Head To Head,Gold Coast Suns,1.62,St Kilda Saints,2.25,1.062,TAB
Geelong Cats v Melbourne Demons,2024-08-31T09:15:00.000Z,Head To Head,Geelong Cats,1.8,Melbourne Demons,2,1.056,TAB
Port Adelaide Power v Adelaide Crows,2024-08-31T09:45:00.000Z,Head To Head,Port Adelaide Power,5.8,Adelaide Crows,1.13,1.057,TAB
Hawthorn Hawks v Carlton,2024-09-01T03:05:00.000Z,Head To Head,Hawthorn Hawks,1.53,Carlton,2.45,1.062,TAB
Brisbane Lions v North Melbourne Kangaroos,2024-09-01T05:05:00.000Z,Head To Head,Brisbane Lions,1.55,North Melbourne Kangaroos,2.4,1.062,TAB
