match,start_time,market_name,home_team,home_win,away_team,away_win,margin,agency
GWS Giants v Western Bulldogs,2024-08-31T13:05:00Z,Head To Head,GWS Giants,1.71,Western Bulldogs,2.06,1.07,TopSport
Essendon Bombers v Fremantle Dockers,2024-08-31T15:05:00Z,Head To Head,Essendon Bombers,1.46,Fremantle Dockers,2.6,1.07,TopSport
Gold Coast Suns v St Kilda Saints,2024-08-31T17:05:00Z,Head To Head,Gold Coast Suns,1.63,St Kilda Saints,2.18,1.072,TopSport
Geelong Cats v Melbourne Demons,2024-08-31T19:15:00Z,Head To Head,Geelong Cats,1.77,Melbourne Demons,2,1.065,TopSport
Port Adelaide Power v Adelaide Crows,2024-08-31T19:45:00Z,Head To Head,Port Adelaide Power,5.25,Adelaide Crows,1.14,1.068,TopSport
Hawthorn Hawks v Carlton,2024-09-01T13:05:00Z,Head To Head,Hawthorn Hawks,1.4,Carlton,2.8,1.071,TopSport
Brisbane Lions v North Melbourne Kangaroos,2024-09-01T15:05:00Z,Head To Head,Brisbane Lions,1.55,North Melbourne Kangaroos,2.4,1.062,TopSport
