match,market_name,home_team,home_win,home_line,away_team,away_win,away_line,margin,agency
Port Adelaide Power v Geelong Cats,Line,Port Adelaide Power,1.9,-11.5,Geelong Cats,1.9,11.5,1.053,Betr
Western Bulldogs v Hawthorn Hawks,Line,Western Bulldogs,1.9,-3.5,Hawthorn Hawks,1.9,3.5,1.053,Betr
Sydney Swans v GWS Giants,Line,Sydney Swans,1.9,-7.5,GWS Giants,1.9,7.5,1.053,Betr
Brisbane Lions v Carlton,Line,Brisbane Lions,1.9,-22.5,Carlton,1.9,22.5,1.053,Betr
