match,start_time,market_name,home_team,home_win,away_team,away_win,margin,agency
Sydney Swans v Collingwood Magpies,2023-08-30T19:15:00Z,Head To Head,Sydney Swans,1.45,Collingwood Magpies,2.75,1.053,Bet365
West Coast Eagles v Richmond Tigers,2023-08-30T21:15:00Z,Head To Head,West Coast Eagles,5.5,Richmond Tigers,1.15,1.051,Bet365
GWS Giants v Western Bulldogs,2023-08-31T13:05:00Z,Head To Head,GWS Giants,1.65,Western Bulldogs,2.25,1.051,Bet365
Essendon Bombers v Fremantle Dockers,2023-08-31T15:05:00Z,Head To Head,Essendon Bombers,1.48,Fremantle Dockers,2.65,1.053,Bet365
Gold Coast Suns v St Kilda Saints,2023-08-31T17:05:00Z,Head To Head,Gold Coast Suns,1.62,St Kilda Saints,2.3,1.052,Bet365
Geelong Cats v Melbourne Demons,2023-08-31T19:15:00Z,Head To Head,Geelong Cats,1.7,Melbourne Demons,2.18,1.047,Bet365
Port Adelaide Power v Adelaide Crows,2023-08-31T19:45:00Z,Head To Head,Port Adelaide Power,6.25,Adelaide Crows,1.12,1.053,Bet365
Hawthorn Hawks v Carlton,2023-09-01T13:05:00Z,Head To Head,Hawthorn Hawks,1.44,Carlton,2.8,1.052,Bet365
Brisbane Lions v North Melbourne Kangaroos,2023-09-01T15:05:00Z,Head To Head,Brisbane Lions,1.56,North Melbourne Kangaroos,2.45,1.049,Bet365
