match,start_time,market_name,home_team,home_line,home_win,away_team,away_line,away_win,margin,agency
Sydney Swans v Collingwood Magpies,2024-08-30T09:15:00Z,Line,Sydney Swans,-7.5,1.88,Collingwood Magpies,7.5,1.88,1.064,Pointsbet
West Coast Eagles v Richmond Tigers,2024-08-30T11:15:00Z,Line,West Coast Eagles,20.5,1.88,Richmond Tigers,-20.5,1.88,1.064,Pointsbet
GWS Giants v Western Bulldogs,2024-08-31T03:05:00Z,Line,GWS Giants,-4.5,1.88,Western Bulldogs,4.5,1.88,1.064,Pointsbet
Gold Coast Suns v St Kilda Saints,2024-08-31T07:05:00Z,Line,Gold Coast Suns,-6.5,1.88,St Kilda Saints,6.5,1.88,1.064,Pointsbet
Geelong Cats v Melbourne Demons,2024-08-31T09:15:00Z,Line,Geelong Cats,-5.5,1.88,Melbourne Demons,5.5,1.88,1.064,Pointsbet
Port Adelaide Power v Adelaide Crows,2024-08-31T09:45:00Z,Line,Port Adelaide Power,27.5,1.88,Adelaide Crows,-27.5,1.88,1.064,Pointsbet
Hawthorn Hawks v Carlton,2024-09-01T03:05:00Z,Line,Hawthorn Hawks,-12.5,1.88,Carlton,12.5,1.88,1.064,Pointsbet
Brisbane Lions v North Melbourne Kangaroos,2024-09-01T05:05:00Z,Line,Brisbane Lions,-7.5,1.88,North Melbourne Kangaroos,7.5,1.88,1.064,Pointsbet
