event_name,event_id,competition_name,url
Geelong Cats (W) vs Melbourne (W),0c9d3e5d-b85c-4ea6-b1f6-d1eabb7f1cb3,AFLW,https://www.neds.com.au/sports/australian-rules/aflw/geelong-cats-(w)-vs-melbourne-(w)/0c9d3e5d-b85c-4ea6-b1f6-d1eabb7f1cb3
Hawthorn (W) vs Carlton (W),364db332-ed7f-44ea-aa14-31d4249a0d78,AFLW,https://www.neds.com.au/sports/australian-rules/aflw/hawthorn-(w)-vs-carlton-(w)/364db332-ed7f-44ea-aa14-31d4249a0d78
Gold Coast SUNS (W) vs St Kilda (W),48799e0c-c6d8-4457-b968-88626d377894,AFLW,https://www.neds.com.au/sports/australian-rules/aflw/gold-coast-suns-(w)-vs-st-kilda-(w)/48799e0c-c6d8-4457-b968-88626d377894
Essendon (W) vs Fremantle (W),4ff66343-19c4-4e47-a64e-b6d3ccce28ed,AFLW,https://www.neds.com.au/sports/australian-rules/aflw/essendon-(w)-vs-fremantle-(w)/4ff66343-19c4-4e47-a64e-b6d3ccce28ed
Port Adelaide (W) vs Adelaide Crows (W),7fd5f9cf-ebd0-49e0-b40b-6501cdc70742,AFLW,https://www.neds.com.au/sports/australian-rules/aflw/port-adelaide-(w)-vs-adelaide-crows-(w)/7fd5f9cf-ebd0-49e0-b40b-6501cdc70742
Brisbane Lions (W) vs North Melbourne (W),94c61107-4e5b-492a-96e4-7a15be331c5d,AFLW,https://www.neds.com.au/sports/australian-rules/aflw/brisbane-lions-(w)-vs-north-melbourne-(w)/94c61107-4e5b-492a-96e4-7a15be331c5d
